,Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
163,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
164,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP No,,,INP No,,
165,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
166,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,765a9a,No,,INP Yes,,,INP Yes,,
167,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
168,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
169,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
170,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
171,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
172,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,5ff7ab,Yes,,REM Yes,,,REM Yes,,
173,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
174,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
175,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
176,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
177,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
178,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP No,,,INP No,,
179,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
180,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,c5aff2,No,,INP Yes,,,INP Yes,,
181,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
182,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
183,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
184,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
185,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
186,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
187,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
188,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,9f5e85,Yes,,REM Yes,,,REM Yes,,
189,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
190,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
191,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP No,,,INP No,,
192,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
193,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
194,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
195,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
196,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,4e75eb,No,,INP Yes,,,INP Yes,,
197,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
198,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
199,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP No,,,INP No,,
